id,latitude,longitude,country,city,street,buildingNumber,elevation,airly
19,50.069308,20.053492,Poland,Kraków,Bulwarowa,30,203.87,0
329,50.1315,20.014326,Poland,Ksiazniczki,,,227.36,1
332,50.175018,20.039064,Poland,Zagórzyce Dworskie,,,315.7,1
1070,50.002872,19.891985,Poland,Kraków,Profesora Geremka,26,245.78,1
6076,49.985546,20.059961,Poland,Wieliczka,Stanislawa Moniuszki,1,240.53,1
7012,50.006187,19.769005,Poland,Raczna,,,223.38,1
7514,50.033099,19.895774,Poland,Kraków,Skalica,21B,212.05,1
313,50.230379,19.85352,Poland,Skala,Rynek,20-21,416.64,0
8077,50.062006,19.940984,Poland,Kraków,Mikolajska,4,220.38,1
8126,50.185143,19.947767,Poland,Kozierów,,,359.71,1
9891,50.020586,20.02296,Poland,Kraków,Komandora Bohdana Wronskiego,9,199.94,1
9892,49.999615,19.966073,Poland,Kraków,Wyzynna,30,235.34,1
9899,50.099239,19.953954,Poland,Kraków,Macieja Slomczynskiego,18,240.98,1
9902,50.062677,20.018922,Poland,Kraków,Soltysowska,12G,198.28,1
9903,50.044067,19.998804,Poland,Kraków,Mysliwska,59,197.37,1
9905,50.079672,19.94919,Poland,Kraków,Rogatka,3,215.6,1
9919,50.066747,19.962083,Poland,Kraków,Kielecka,6/6 31-526,208.91,1
9920,50.044424,19.952205,Poland,Kraków,Krakusa,11,205.57,1
9923,50.042476,19.826993,Poland,Kraków,Dworna,46,228.21,1
9996,50.116028,19.800639,Poland,Zabierzów,Kolejowa,26,235,0
10039,50.067312,19.90336,Poland,Kraków,Reymonta,37,203.88,1
10051,50.150282,19.893212,Poland,Januszowice,,,261.88,1
11336,50.114638,20.131619,Poland,Krzysztoforzyce,,,236.89,1
11489,50.084966,19.877998,Poland,Kraków,osiedle Zlota Podkowa,36,230.22,1
